iter	Passed	Remaining
0	61	18479
1	66	9844
2	69	6887
3	72	5382
4	75	4483
5	80	3934
6	83	3487
7	86	3155
8	89	2888
9	91	2655
10	95	2502
11	98	2370
12	101	2246
13	104	2140
14	107	2044
15	110	1969
16	113	1889
17	116	1820
18	118	1755
19	121	1702
20	124	1655
21	127	1613
22	129	1562
23	132	1528
24	136	1500
25	139	1470
26	141	1433
27	144	1404
28	147	1376
29	150	1353
30	153	1329
31	156	1307
32	159	1287
33	162	1268
34	165	1252
35	168	1238
36	172	1224
37	175	1208
38	178	1191
39	180	1175
40	183	1159
41	187	1150
42	190	1137
43	193	1125
44	196	1115
45	199	1102
46	203	1093
47	206	1081
48	209	1071
49	212	1060
50	215	1051
51	218	1041
52	222	1034
53	225	1026
54	228	1019
55	232	1012
56	235	1003
57	238	993
58	241	985
59	244	977
60	247	969
61	250	960
62	252	951
63	256	944
64	259	937
65	262	930
66	265	923
67	268	915
68	271	907
69	274	900
70	277	895
71	280	888
72	283	881
73	286	875
74	289	869
75	292	862
76	295	855
77	298	849
78	301	843
79	304	837
80	307	832
81	310	825
82	313	819
83	316	814
84	319	808
85	322	802
86	325	797
87	328	791
88	332	787
89	335	782
90	338	776
91	340	770
92	344	765
93	347	761
94	350	756
95	353	750
96	356	746
97	359	740
98	362	736
99	365	730
100	368	725
101	371	720
102	374	715
103	377	711
104	381	708
105	384	704
106	387	699
107	391	695
108	394	690
109	397	685
110	400	681
111	403	677
112	406	672
113	408	666
114	411	662
115	414	657
116	417	653
117	420	648
118	423	644
119	426	640
120	430	637
121	433	633
122	436	628
123	439	624
124	442	619
125	445	615
126	448	610
127	451	606
128	454	602
129	457	598
130	460	593
131	463	590
132	466	585
133	469	581
134	473	578
135	476	574
136	479	570
137	482	566
138	485	562
139	488	558
140	491	554
141	494	550
142	497	546
143	500	541
144	503	538
145	506	534
146	509	530
147	512	526
148	516	523
149	519	519
150	522	515
151	525	511
152	528	507
153	531	503
154	534	500
155	537	496
156	541	493
157	544	489
158	546	484
159	549	481
160	552	477
161	555	473
162	558	469
163	561	465
164	564	461
165	567	458
166	570	454
167	573	450
168	576	447
169	579	443
170	582	439
171	585	435
172	588	432
173	591	428
174	594	424
175	597	421
176	601	417
177	604	414
178	607	410
179	610	407
180	613	403
181	616	399
182	619	395
183	622	392
184	625	388
185	628	385
186	631	381
187	634	378
188	637	374
189	640	370
190	643	367
191	646	363
192	650	360
193	653	356
194	656	353
195	659	349
196	661	346
197	664	342
198	667	338
199	670	335
200	673	331
201	676	328
202	679	324
203	683	321
204	686	317
205	689	314
206	692	311
207	696	307
208	699	304
209	703	301
210	706	297
211	708	294
212	712	290
213	714	287
214	717	283
215	720	280
216	723	276
217	726	273
218	730	270
219	733	266
220	736	263
221	738	259
222	742	256
223	745	252
224	748	249
225	751	246
226	754	242
227	756	239
228	760	235
229	762	232
230	768	229
231	771	226
232	774	222
233	776	219
234	780	215
235	783	212
236	786	209
237	789	205
238	792	202
239	794	198
240	797	195
241	800	191
242	803	188
243	806	185
244	809	181
245	811	178
246	814	174
247	817	171
248	820	168
249	823	164
250	825	161
251	828	157
252	831	154
253	834	151
254	837	147
255	840	144
256	843	141
257	846	137
258	849	134
259	852	131
260	855	127
261	858	124
262	861	121
263	864	117
264	867	114
265	870	111
266	873	108
267	877	104
268	880	101
269	883	98
270	886	94
271	889	91
272	892	88
273	895	84
274	898	81
275	901	78
276	904	75
277	907	71
278	910	68
279	913	65
280	916	61
281	919	58
282	922	55
283	926	52
284	929	48
285	931	45
286	935	42
287	938	39
288	941	35
289	945	32
290	948	29
291	951	26
292	954	22
293	957	19
294	960	16
295	963	13
296	966	9
297	970	6
298	972	3
299	974	0
