feature,importance
rolling_volatility_3,43.860391693305075
price_momentum,31.228577062494196
price_change_lag_1,13.223523608495983
rolling_std_3,5.581376257581821
z_score,2.1534997189704366
price_lag_1,1.1340747432987623
rolling_mean_3,1.0125599515847434
category,0.6064085457145896
price,0.3913892424527316
year,0.22379305729426222
commodity,0.17065436162468492
price_vs_annual_avg,0.09634912177755514
price_percentile,0.09474278522423696
quarter,0.06408522622790541
month,0.05592355602323683
is_essential,0.03705070257714979
distance_from_colombo,0.016613863607163114
is_festive_period,0.013811906242896951
admin1,0.013597444725412572
market,0.013536258111113992
admin2,0.007698451982721234
is_yala_season,0.0003424406832987664
is_maha_season,0.0
is_conflict_region,0.0
